s16000_R1_b9101	--arm R1 --task s5_words --bundle-id 9101 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1_b9101.json
s16000_DP2-strict_b9101	--arm DP2-strict --task s5_words --bundle-id 9101 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_DP2-strict_b9101.json
s16000_R1-refl_b9101	--mixer kda_hh --num-householder 1 --beta-regime reflection --task s5_words --bundle-id 9101 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1-refl_b9101.json
s16000_Reflection_b9101	--arm Reflection --task s5_words --bundle-id 9101 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_Reflection_b9101.json
s16000_R1_b9102	--arm R1 --task s5_words --bundle-id 9102 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1_b9102.json
s16000_DP2-strict_b9102	--arm DP2-strict --task s5_words --bundle-id 9102 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_DP2-strict_b9102.json
s16000_R1-refl_b9102	--mixer kda_hh --num-householder 1 --beta-regime reflection --task s5_words --bundle-id 9102 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1-refl_b9102.json
s16000_Reflection_b9102	--arm Reflection --task s5_words --bundle-id 9102 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_Reflection_b9102.json
s16000_R1_b9103	--arm R1 --task s5_words --bundle-id 9103 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1_b9103.json
s16000_DP2-strict_b9103	--arm DP2-strict --task s5_words --bundle-id 9103 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_DP2-strict_b9103.json
s16000_R1-refl_b9103	--mixer kda_hh --num-householder 1 --beta-regime reflection --task s5_words --bundle-id 9103 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1-refl_b9103.json
s16000_Reflection_b9103	--arm Reflection --task s5_words --bundle-id 9103 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_Reflection_b9103.json
s16000_R1_b9104	--arm R1 --task s5_words --bundle-id 9104 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1_b9104.json
s16000_DP2-strict_b9104	--arm DP2-strict --task s5_words --bundle-id 9104 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_DP2-strict_b9104.json
s16000_R1-refl_b9104	--mixer kda_hh --num-householder 1 --beta-regime reflection --task s5_words --bundle-id 9104 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1-refl_b9104.json
s16000_Reflection_b9104	--arm Reflection --task s5_words --bundle-id 9104 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_Reflection_b9104.json
s16000_R1_b9105	--arm R1 --task s5_words --bundle-id 9105 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1_b9105.json
s16000_DP2-strict_b9105	--arm DP2-strict --task s5_words --bundle-id 9105 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_DP2-strict_b9105.json
s16000_R1-refl_b9105	--mixer kda_hh --num-householder 1 --beta-regime reflection --task s5_words --bundle-id 9105 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1-refl_b9105.json
s16000_Reflection_b9105	--arm Reflection --task s5_words --bundle-id 9105 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_Reflection_b9105.json
s16000_R1_b9106	--arm R1 --task s5_words --bundle-id 9106 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1_b9106.json
s16000_DP2-strict_b9106	--arm DP2-strict --task s5_words --bundle-id 9106 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_DP2-strict_b9106.json
s16000_R1-refl_b9106	--mixer kda_hh --num-householder 1 --beta-regime reflection --task s5_words --bundle-id 9106 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1-refl_b9106.json
s16000_Reflection_b9106	--arm Reflection --task s5_words --bundle-id 9106 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_Reflection_b9106.json
s16000_R1_b9107	--arm R1 --task s5_words --bundle-id 9107 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_R1_b9107.json
s16000_DP2-strict_b9107	--arm DP2-strict --task s5_words --bundle-id 9107 --steps 16000 --eval-lengths 40 64 128 256 --out /scratch/users/ericrcwu/agent-runs/review-sigma/out/s16000_DP2-strict_b9107.json
