id	limitation	claimed_numbers	code_reference	derived_formula_or_finding	my_measurement	verdict
E1	hs workspace is O(B*T*H*K*V) fp32 -- the full per-token pre-decay state history. Forward fits; backward OOMs.	"48 GiB at B8/T4096/K128"; also "~5.5 GiB/layer at B16/T2048"; "~1.75 GiB/layer at micro-batch 4"; "6.86 GiB measured at B4/T4096/H16/R2"	src/olmo_core/nn/attention/kda_householder.py:539 (hs = torch.empty(B*T*H*K*V, fp32)); warning comment at :530-538	**CLEAN SCALING LAW: hs_GiB = 4*B*T*H*K*V / 2^30, and hs IS INDEPENDENT OF R** (verified: at B4/T4096/H16/K64/V64, hs = 4.00 GiB for R=1, 2 and 4 alike, while the TOTAL moves 5.54 -> 6.08 -> 7.16 GiB). Doubling any of B, T, H, K, V doubles hs; raising R does not touch it. This matters for the write-up because the obvious intuition -- "R Householder factors means R times the memory" -- is WRONG for the dominant term; R only enters the smaller dk_p/db_p/dv buffers. TOTAL backward workspace (all allocations at :539-551) = 4*B*T*H*K*V [hs] + 4*NV*B*T*H*K [dq_p] + 4*NV*B*T*H*K [dg_p] + 4*NV*B*T*R*H*K [dk_p] + 4*NV*B*T*R*H [db_p] + 2*B*T*R*H*V [dv] + 4*B*H*K*V [dh0] + reduction temps, where NV = ceil(V/BV), BV = min(8, next_pow2(V)). At V=64, NV=8. NOTE hs is INDEPENDENT of R; the R-scaling lives in dk_p/db_p/dv.	"48 GiB at B8/T4096/K128": INDEPENDENT RE-DERIVATION STRAIGHT FROM THE ALLOCATIONS AT :539-551 (not reusing audit_exp7_mem.py) gives hs = 32.0 GiB and TOTAL = 48.31 GiB at B8/T4096/H16/K128/V128/R2 with no initial_state. SO THE "48 GiB" NUMBER IS ESSENTIALLY EXACT -- but it is the TOTAL backward workspace, of which hs is 66%; the code comment at :536 attributes the whole 48 GiB to hs alone. Same pattern at the other point: the ":536" comment says B4/T4096/H16/K64/V64 "is 6.0 GiB"; the true split is hs = 4.0 GiB, TOTAL = 6.08 GiB (again hs is 66%). So both quoted figures are right as TOTALS and ~1.5x too large as hs. "6.0 GiB at B4/T4096/H16/K64/V64" (comment at :536): hs = 4.0 GiB, TOTAL = 6.33 GiB -- again the total. HANDOFF's "measured 6.86 GiB at B4/T4096/H16/R2" vs my predicted total 6.33 GiB (measured includes inputs/outputs, so consistent). "~1.75 GiB at micro-batch 4": matches B4/T2048/H8/R2-4 (1.58-1.88 GiB total); does NOT match H16 (3.17-3.77 GiB). "~5.5 GiB at B16/T2048" does NOT reproduce at any (H,R) I tried: H8 gives 6.33-7.54, H16 gives 12.66-15.07 GiB.	SUBSTANTIATED IN KIND, NUMBERS NEED RESTATING. The scaling law is real and correctly identified as the dominant cost. But the quoted GiB figures are TOTAL workspace, not hs, and the code comment conflates them. The "48 GiB" vs "a non-issue" tone conflict resolves as: the total is 49.3 GiB at B8/T4096/K128/V128/R2 (a genuine OOM on a 46 GiB L40S) and 1.6-1.9 GiB at the micro-batch-4 probe shape (genuinely a non-issue). Both are right about different configs. Empirical peak-memory verification PENDING (GPU job queued).
E2	Double-backward now ERRORS rather than silently returning zeros.	defect fix #1; "@once_differentiable added"	kda_householder.py:644 (@torch.autograd.function.once_differentiable on backward)	Decorator present and applied to ChunkKDAHouseholderFunction.backward.	CONFIRMED PRESENT at :644. A test asserts it: src/test/nn/attention/kda_householder_test.py:783 test_kda_householder_backward_is_once_differentiable, which does create_graph=True then pytest.raises(RuntimeError). I independently confirmed the torch backend still passes gradgradcheck (R=1, R=2) while the Triton path raises -- so the two claims are consistent, not in tension.	SUBSTANTIATED. Limitation is real: 2nd-order consumers (gradient penalties, HVPs, MAML) must use backend="torch".
E3	mark_non_differentiable(final_state) makes the dht guard value-independent.	defect fix #2	kda_householder.py:639-640	ctx.mark_non_differentiable(final_state) called in forward when final_state is not None.	CONFIRMED PRESENT at :640, with a test at kda_householder_test.py:742 test_kda_householder_final_state_is_non_differentiable that asserts not ht.requires_grad AND that differentiating through ht raises RuntimeError with an all-zero cotangent (the exact case the old value-based guard let through).	SUBSTANTIATED. AND YES, THIS IS A REAL LIMITATION: gradients CANNOT flow through the final state, so TBPTT carry-over (segment-to-segment backprop through the recurrent state) IS UNSUPPORTED on the Triton path. The kernel accepts initial_state and DOES return dh0, so gradients flow INTO a segment's initial state; but the final state it emits is severed from the graph, so you cannot chain segments. The write-up should say this explicitly -- it is the difference between "supports an initial state" and "supports TBPTT".
E4	tl.debug_barrier() between the hs write (pass 1) and read (pass 2); needed at BK>=128/num_warps>1, invisible at K=64.	defect fix #3	kda_householder.py:395, rationale comment :389-394; num_warps selection at :525 (1 if BK<=64 else 2 if BK<=128 else 4)	Barrier present, once per program (not per time step), so ~free.	CONFIRMED PRESENT at :395. Test coverage CONFIRMED: kda_householder_test.py:816-817 test_kda_householder_backward_multiwarp_head_dim is parametrized over K=[128, 256], comparing Triton vs torch at per-gradient relative < 2e-2. So K=128 AND K=256 are both covered, i.e. both the num_warps=2 and num_warps=4 regimes.	SUBSTANTIATED. My mutation M26 removes the barrier to test whether the committed test actually detects its absence -- result PENDING (GPU job queued). Note: a missing barrier is a RACE, so a test may pass by luck; absence of detection would not prove the barrier is unnecessary, but detection would prove the test is load-bearing.
E5	O(R^2) re-walk from S^(0) instead of R+1 stored tiles; audited bit-exact for R up to 8.	"audited bit-exact (R up to 8)"	kda_householder.py:440-449 (the i_rr / j < i_r re-walk); rationale :421-423	Re-walk costs O(R^2) arithmetic with 2 live tiles instead of R+1 tiles, avoiding register spills at BK=128.	ARTIFACT EXISTS AND REPRODUCES EXACTLY: /Users/ericwu/Developer/Capstone_LLM/probes/audit_exp6_rewalk.py. R=1,2,3,4,8 all bit-identical=True, all five gradients 0.0e+00.	SUBSTANTIATED. Cleanest audit in the set.
E6	Recompute the forward in the backward; do NOT invert it, because inversion needs 1/(||k||^2 - 1/beta), singular at beta=1, and beta=2*sigmoid makes beta=1 an interior routinely-hit point.	"Verified numerically"	kda_householder.py:336-338 (docstring rationale); recurrent.py:1257-1259 (beta = w_b(x).sigmoid(); if allow_neg_eigval: beta = beta*2.0)	With L2-normalised keys ||k||=1, the denominator ||k||^2 - 1/beta = 1 - 1/beta, which is exactly 0 at beta=1.	CONFIRMED: beta = 2*sigmoid is at recurrent.py:1257-1259. Denominator at beta=1, ||k||=1 is exactly 0.0. REACHABILITY MEASURED at init (d_model=512, n_heads=8, R=2, 16384 samples): allow_neg_eigval=True gives beta in [0.301959, 1.750292] with 67/16384 samples within 1e-3 of 1.0 -- so beta=1 is genuinely interior and routinely hit. allow_neg_eigval=False gives beta in [0.150979, 0.875146] with 0/16384 near 1.0 (beta<1 strictly, so inversion would be safe but the mechanism is voided).	SUBSTANTIATED. The design decision is correct and the singularity is genuinely reachable in the allow_neg_eigval=True regime.
E7	allow_neg_eigval=True is "load-bearing, not style"; False voids the mechanism.	"gives beta in (0,2) so (I - beta k k^T) can be a true Householder reflection. False voids the mechanism."	recurrent.py:1102 (KimiDeltaHouseholder.__init__ default False); recurrent.py:1480 (KimiDeltaHouseholderConfig.allow_neg_eigval: bool = False)	With allow_neg_eigval=False, beta=sigmoid(.) in (0,1), so (I - beta k k^T) has eigenvalue 1-beta in (0,1): a contraction, never a reflection. With True, beta in (0,2) so 1-beta in (-1,1) and reflection (negative eigenvalue) is reachable.	CODE DEFAULT IS FALSE -- I measured KimiDeltaHouseholderConfig().allow_neg_eigval = False, and the constructor default at recurrent.py:1102 is also False. Measured beta ranges confirm the mechanism claim exactly (False: max beta 0.875 < 1, so 1-beta > 0 always, no reflection possible; True: beta up to 1.750, so 1-beta down to -0.750, reflection reachable).	SUBSTANTIATED AS PHYSICS, BUT NOTE THE TRAP: the claim says True is load-bearing, yet the CODE DEFAULT IS FALSE in both the config and the constructor. Anyone instantiating KimiDeltaHouseholder without explicitly passing allow_neg_eigval=True gets the mechanism-voided variant. WHETHER THE PROBE/LM RESULTS USED True OR False IS A QUESTION I COULD NOT ANSWER from the kernel side -- it depends on how probes/train_probe.py and the LM configs instantiate the layer, which belongs to the probe/LM agents. The write-up MUST state which setting produced each result. The repo does test both: kda_householder_test.py:627 parametrizes neg_eigval=[False, True], and recurrent_test.py:622 has an allow_neg_eigval=True param case.
E8	Occupancy: grid is cdiv(V,BV)*B*H programs = 8*B*H at V=64; probe shape B=2,H=8 ran 64-128 programs on 142 SMs, "nearly empty". "16x batch costs 2.70x time, a 6x per-token throughput gain."	"142 SMs"; "64-128 programs"; "16x batch = 2.70x time = 6x per-token gain"	kda_householder.py:264 (grid = (NV, N*H)) and :553 (same for bwd); BV = min(8, next_power_of_2(V)) at :252/:523; NV = cdiv(V,BV) at :253/:524	GRID EXPRESSION CONFIRMED: grid = (NV, N*H) = (cdiv(V,BV), N*H), total programs = cdiv(V,BV)*N*H. At V=64, BV=min(8,64)=8, so NV=8 and total = 8*N*H. At B=2,H=8: 8*2*8 = 128 programs. (The "64" in "64-128" corresponds to B=1,H=8 or B=2,H=4.)	Grid arithmetic verified by reading the code: exactly 8*B*H at V=64. 16/2.70 = 5.93x, so "a 6x per-token throughput gain" is correct arithmetic. L40S SM COUNT AND THE EMPIRICAL BATCH SCALING ARE PENDING (GPU job queued). Published L40S spec is 142 SMs, consistent with the claim.	GRID FORMULA SUBSTANTIATED FROM CODE; SM count and throughput scaling PENDING. The qualitative point is sound and important: at the probe shape the kernel launches ~128 programs on a ~142-SM GPU, so it is occupancy-starved and batching is nearly free. This is also WHY the kernel is slow in absolute terms -- it is sequential over time with one program per (i_v, batch*head) tile.
E9	NEW (found by this audit): a test that hard-codes CUDA but carries no @requires_gpu decorator.	not previously claimed	src/test/nn/attention/kda_householder_test.py:299 test_kda_householder_r1_matches_fla_chunk_kda	The function has ZERO decorators -- no @requires_gpu, no @requires_fla -- yet line 315 does device = torch.device("cuda") and line 311 imports fla.ops.kda.	MEASURED: on a CPU-only node this test does not skip, it ERRORS (torch.AcceleratorError: CUDA driver version is insufficient). CPU-only pytest run: "1 failed, 109 passed, 47 skipped". The 1 failure is this test. Compare test_kda_householder_backward_runs at :279 which correctly carries both @requires_gpu and @requires_fla.	NEW DEFECT. It does not affect any GPU result (on a GPU it runs and is a genuine check of R=1 vs fla's production chunked KDA -- arguably the single most valuable correctness test in the file). But it makes the suite red on any CPU-only machine, and it is exactly the "silent-green / mis-gated test" class the program has been burned by twice, just with the opposite sign (loud-red instead of silent-green). test_kda_householder_rejects_unknown_backend at :417 also mentions cuda but only in a kwarg string, so it is harmless.
E10	NEW (found by this audit): the dg gradient cannot be tested by an ABSOLUTE tolerance in the production gate regime -- and audit_exp2 shows a real mutation surviving because of it.	the HANDOFF acknowledges this as "What Didn't Work #4" and says it was fixed by a per-gradient relative-error test	fix at src/test/nn/attention/kda_householder_test.py:627-645 test_kda_householder_backward_relative_error (12 parametrizations, incl. a_log_scale=16.0)	With A_log = log U(1,16), decay is 8-68x stronger than a naive -rand() gate, collapsing |dg| to ~1.6e-3, below any 2e-2 absolute threshold.	REPRODUCED THE FAILURE MODE EXACTLY: running audit_exp2_mutation.py, mutation M1_dg_after_decay is CAUGHT in the "accept" regime (dg diff 5.54e-2 > 2e-2) but SURVIVES in both production regimes -- "real" (dg diff 1.54e-3) and "negeig" (dg diff 3.15e-3). So 7/8 not 8/8 in the regime that matters. The RELATIVE-error test at :627 is the correct fix and it IS committed with a_log_scale=16.0 among its 12 parametrizations.	FIX CONFIRMED PRESENT AND CORRECTLY DESIGNED. But note what this means for the "18/18 mutations caught" claim: the artifact that exists demonstrates a mutation SURVIVING the absolute-tolerance criterion in the production regime. Any restatement of the mutation result must specify WHICH criterion and WHICH regime.
