config_B	config_T	config_H	config_K	config_V	config_R	backend_impl	ms_per_iter_fwd_bwd	peak_GiB	speedup	baseline_is	source	stack	caveat
4	2048	4	64	64	4	ours Triton (fused-recurrent)	36.1	1.05	139x	OUR OWN pure-PyTorch reference in kda_householder_torch.py -- a Python for-loop over T and R that builds T*(R+1) autograd nodes per (batch,head) and retains every intermediate state. NOT a production kernel. NOT the state of the art.	/scratch/users/ericrcwu/kda/probes/bench2.log (original run, 2026-07-26), produced by probes/bench_bwd.py	torch 2.11.0+cu128 / triton 3.6.0 / fla-core 0.4.1	CLAIMED FIGURE REPRODUCED FROM ITS ORIGINAL LOG. bench_bwd.py has NO WARMUP (iters=3, warmup=0), so Triton JIT compile time is amortised into 3 iterations. See the B4/T512 rows below for what that does.
4	2048	4	64	64	4	ours torch reference	5017.8	2.83	1x (baseline)	itself	same log	same	The log's two repeats give 4889.2 and 5017.8 ms; the HANDOFF quotes 5,018 (the second repeat). Spread between repeats is 2.6%.
2	8192	4	64	64	4	ours Triton (fused-recurrent)	137.7	2.09	406x	same OUR-OWN torch reference	same log	same	Both repeats give exactly 137.7 ms.
2	8192	4	64	64	4	ours torch reference	55845.6	5.65	1x (baseline)	itself	same log	same	Repeats: 55940.3 and 55845.6 ms. HANDOFF quotes 55,846.
4	512	4	64	64	1	ours Triton	291.2	0.19	0.94x -- TRITON IS SLOWER	ours torch reference at the same shape (272.5 ms)	same log	same	**THE SMOKING GUN FOR THE NO-WARMUP ARTEFACT.** At B4/T512/R1 the "406x faster" kernel is 7% SLOWER than the reference it is compared against, and at B4/T512/R4 it is 528 ms vs 629 ms (only 1.19x). The reason is that bench_bwd.py never warms up, so the first of 3 iterations pays Triton JIT compilation. This ALSO means the 139x and 406x figures are UNDERSTATED for Triton (compile cost is inside them) while simultaneously being measured against an unoptimised baseline. Both numbers are contaminated; they are not clean measurements of either side.
4	512	4	64	64	1	ours torch reference	272.5	0.30	1x	itself	same log	same	Same no-warmup caveat as the row above; reported for completeness of the B4/T512 comparison.
4	512	4	64	64	4	ours Triton	528.2	0.26	1.19x	ours torch reference (629.3 ms)	same log	same	Same no-warmup caveat as the row above; reported for completeness of the B4/T512 comparison.
1	2048	8	64	64	2	ours Triton	10.6	0.43	n/a	n/a -- occupancy sweep, 64 programs on 142 SMs	/scratch/users/ericrcwu/kda/probes/results/bench-occ-1662357.log, produced by KDA/bench_occupancy.py (WITH warmup=1)	same	OCCUPANCY CLAIMS SUBSTANTIATED. Log header states "NVIDIA L40S, 142 SMs" -- the 142 SM count is CONFIRMED from the device itself.
2	2048	8	64	64	2	ours Triton	11.1	0.86	n/a	n/a -- 128 programs	same	same	1.05x the B=1 time for 2x the work: nearly free, i.e. occupancy-starved as claimed.
4	2048	8	64	64	2	ours Triton	14.6	1.72	n/a	n/a -- 256 programs	same	same	1.37x base
8	2048	8	64	64	2	ours Triton	18.1	3.43	n/a	n/a -- 512 programs	same	same	1.70x base
16	2048	8	64	64	2	ours Triton	28.7	6.86	n/a	n/a -- 1024 programs	same	same	**"16x batch costs 2.70x time" CONFIRMED EXACTLY (28.7/10.6 = 2.71).** Per-token: 5.19 -> 0.87 us/token = 5.97x throughput gain, so "a 6x per-token throughput gain" is CONFIRMED. Also note peak 6.86 GiB here at B16/T2048/H8/R2 -- the HANDOFF's "~5.5 GiB/layer at B16/T2048" does not match this measurement either (6.86, not 5.5).
4	4096	16	64	64	2	ours Triton	36.4	6.86	n/a	n/a -- 512 programs	same	same	**"6.86 GiB measured at B4/T4096/H16/R2" CONFIRMED EXACTLY.** My independent formula predicts 6.33 GiB of workspace; measured peak 6.86 GiB includes inputs/outputs/grads, so the two are consistent.
2	8192	8	64	64	2	ours Triton	45.2	3.43	n/a	n/a -- 128 programs	same	same	us/token RISES 3.14x from B16/T1024 to B2/T8192 at constant total tokens, confirming the sequential-over-time loop dominates at long T. This is the quantitative signature of a fused-recurrent (not chunked) kernel.
1	2048	8	128	128	2	ours Triton	15.7	1.61	n/a	n/a -- multi-warp BK=128 path	same	same	Confirms the K=128 num_warps=2 path runs.
-	-	-	-	-	1	FAIR BASELINE: fla.ops.kda.chunk_kda (production CHUNKED KDA, per-channel gate, R=1 only)	PENDING	PENDING	PENDING	This is the measurement that would tell you how far the kernel is from a production-grade chunked implementation of the SAME op at R=1.	writeup/kernel/perf_bench.py (written by this audit), job 1671610 queued; log will be /scratch/users/ericrcwu/agent-runs/dp2-kda-p0/writeup/kernel/all-1671610.log	torch 2.9.1 / triton 3.5.1 / fla 0.5.1	**THE SINGLE MOST IMPORTANT MISSING MEASUREMENT, AND IT WAS NEVER MADE BY THE ORIGINAL WORK.** No artifact anywhere benchmarks this kernel against any fla kernel. Blocked: Slurm gpu QOS MaxJobsPU=4 is fully consumed by the user's own 4 running array jobs (6+ h remaining).
-	-	-	-	-	4	NEAREST R>1 PRODUCTION KERNEL: fla.ops.gated_delta_product.chunk_gated_delta_product (per-HEAD scalar gate -- a DIFFERENT op)	PENDING	PENDING	PENDING	Bounds only: this kernel hard-asserts g.shape == (B,T,H), so it cannot compute the per-channel-gated op at all. Any comparison is a lower bound on what a chunked implementation could achieve, not a like-for-like.	same script, same queued job	same	PENDING
